BFS_NR_GEMEINDE,GEMEINDE_NAME,BEZIRK_NR,BEZIRK_NAME,JAHR,GESCHLECHT_CODE,GESCHLECHT_BEZEICHNUNG,ALTER5KLASSEN_CODE,ALTER5KLASSEN_BEZEICHNUNG,ANZAHL_PERSONEN
4406,Dozwil,2011,Bezirk Arbon,2019,2,Weiblich,20,20 bis 24 Jahre,23, 
4406,Dozwil,2011,Bezirk Arbon,2019,2,Weiblich,25,25 bis 29 Jahre,16, 
4406,Dozwil,2011,Bezirk Arbon,2019,2,Weiblich,30,30 bis 34 Jahre,17, 
4406,Dozwil,2011,Bezirk Arbon,2019,2,Weiblich,35,35 bis 39 Jahre,18, 
4406,Dozwil,2011,Bezirk Arbon,2019,2,Weiblich,40,40 bis 44 Jahre,23, 
4406,Dozwil,2011,Bezirk Arbon,2019,2,Weiblich,45,45 bis 49 Jahre,22, 
4406,Dozwil,2011,Bezirk Arbon,2019,2,Weiblich,50,50 bis 54 Jahre,24, 
4406,Dozwil,2011,Bezirk Arbon,2019,2,Weiblich,55,55 bis 59 Jahre,29, 
4406,Dozwil,2011,Bezirk Arbon,2019,2,Weiblich,60,60 bis 64 Jahre,21, 
4406,Dozwil,2011,Bezirk Arbon,2019,2,Weiblich,65,65 bis 69 Jahre,20, 
4406,Dozwil,2011,Bezirk Arbon,2019,2,Weiblich,70,70 bis 74 Jahre,15, 
4406,Dozwil,2011,Bezirk Arbon,2019,2,Weiblich,75,75 bis 79 Jahre,12, 
4406,Dozwil,2011,Bezirk Arbon,2019,2,Weiblich,80,80 bis 84 Jahre,12, 
4406,Dozwil,2011,Bezirk Arbon,2019,2,Weiblich,85,85 bis 89 Jahre,2, 
4406,Dozwil,2011,Bezirk Arbon,2019,2,Weiblich,90,90+ Jahre,6, 
4411,Egnach,2011,Bezirk Arbon,2019,1,Männlich,0,4 Jahre oder jünger,122, 
4411,Egnach,2011,Bezirk Arbon,2019,1,Männlich,5,5 bis 9 Jahre,156, 
4411,Egnach,2011,Bezirk Arbon,2019,1,Männlich,10,10 bis 14 Jahre,130, 
4411,Egnach,2011,Bezirk Arbon,2019,1,Männlich,15,15 bis 19 Jahre,134, 
4411,Egnach,2011,Bezirk Arbon,2019,1,Männlich,20,20 bis 24 Jahre,128, 
4411,Egnach,2011,Bezirk Arbon,2019,1,Männlich,25,25 bis 29 Jahre,145, 
4411,Egnach,2011,Bezirk Arbon,2019,1,Männlich,30,30 bis 34 Jahre,140, 
4411,Egnach,2011,Bezirk Arbon,2019,1,Männlich,35,35 bis 39 Jahre,172, 
4411,Egnach,2011,Bezirk Arbon,2019,1,Männlich,40,40 bis 44 Jahre,158, 
4411,Egnach,2011,Bezirk Arbon,2019,1,Männlich,45,45 bis 49 Jahre,158, 
4411,Egnach,2011,Bezirk Arbon,2019,1,Männlich,50,50 bis 54 Jahre,197, 
4411,Egnach,2011,Bezirk Arbon,2019,1,Männlich,55,55 bis 59 Jahre,209, 
4411,Egnach,2011,Bezirk Arbon,2019,1,Männlich,60,60 bis 64 Jahre,158, 
4411,Egnach,2011,Bezirk Arbon,2019,1,Männlich,65,65 bis 69 Jahre,105, 
4411,Egnach,2011,Bezirk Arbon,2019,1,Männlich,70,70 bis 74 Jahre,105, 
4411,Egnach,2011,Bezirk Arbon,2019,1,Männlich,75,75 bis 79 Jahre,87, 
4411,Egnach,2011,Bezirk Arbon,2019,1,Männlich,80,80 bis 84 Jahre,44, 
4411,Egnach,2011,Bezirk Arbon,2019,1,Männlich,85,85 bis 89 Jahre,30, 
4411,Egnach,2011,Bezirk Arbon,2019,1,Männlich,90,90+ Jahre,18, 
4411,Egnach,2011,Bezirk Arbon,2019,2,Weiblich,0,4 Jahre oder jünger,119, 
4411,Egnach,2011,Bezirk Arbon,2019,2,Weiblich,5,5 bis 9 Jahre,126, 
4411,Egnach,2011,Bezirk Arbon,2019,2,Weiblich,10,10 bis 14 Jahre,123, 
4411,Egnach,2011,Bezirk Arbon,2019,2,Weiblich,15,15 bis 19 Jahre,123, 
4411,Egnach,2011,Bezirk Arbon,2019,2,Weiblich,20,20 bis 24 Jahre,119, 
4411,Egnach,2011,Bezirk Arbon,2019,2,Weiblich,25,25 bis 29 Jahre,114, 
4411,Egnach,2011,Bezirk Arbon,2019,2,Weiblich,30,30 bis 34 Jahre,146, 
4411,Egnach,2011,Bezirk Arbon,2019,2,Weiblich,35,35 bis 39 Jahre,156, 
4411,Egnach,2011,Bezirk Arbon,2019,2,Weiblich,40,40 bis 44 Jahre,140, 
4411,Egnach,2011,Bezirk Arbon,2019,2,Weiblich,45,45 bis 49 Jahre,180, 
4411,Egnach,2011,Bezirk Arbon,2019,2,Weiblich,50,50 bis 54 Jahre,199, 
4411,Egnach,2011,Bezirk Arbon,2019,2,Weiblich,55,55 bis 59 Jahre,200, 
4411,Egnach,2011,Bezirk Arbon,2019,2,Weiblich,60,60 bis 64 Jahre,155, 
4411,Egnach,2011,Bezirk Arbon,2019,2,Weiblich,65,65 bis 69 Jahre,96, 
4411,Egnach,2011,Bezirk Arbon,2019,2,Weiblich,70,70 bis 74 Jahre,99, 
4411,Egnach,2011,Bezirk Arbon,2019,2,Weiblich,75,75 bis 79 Jahre,81, 
4411,Egnach,2011,Bezirk Arbon,2019,2,Weiblich,80,80 bis 84 Jahre,51, 
4411,Egnach,2011,Bezirk Arbon,2019,2,Weiblich,85,85 bis 89 Jahre,41, 
4411,Egnach,2011,Bezirk Arbon,2019,2,Weiblich,90,90+ Jahre,23, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,1,Männlich,0,4 Jahre oder jünger,21, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,1,Männlich,5,5 bis 9 Jahre,35, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,1,Männlich,10,10 bis 14 Jahre,21, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,1,Männlich,15,15 bis 19 Jahre,35, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,1,Männlich,20,20 bis 24 Jahre,49, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,1,Männlich,25,25 bis 29 Jahre,45, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,1,Männlich,30,30 bis 34 Jahre,31, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,1,Männlich,35,35 bis 39 Jahre,32, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,1,Männlich,40,40 bis 44 Jahre,41, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,1,Männlich,45,45 bis 49 Jahre,48, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,1,Männlich,50,50 bis 54 Jahre,54, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,1,Männlich,55,55 bis 59 Jahre,61, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,1,Männlich,60,60 bis 64 Jahre,64, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,1,Männlich,65,65 bis 69 Jahre,28, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,1,Männlich,70,70 bis 74 Jahre,17, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,1,Männlich,75,75 bis 79 Jahre,19, 
